"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2015","886.52","876.40","886.52","875.27","532.51M","1.20%"
"05/20/2015","877.91","883.70","885.10","873.43","713.42M","-0.97%"
"05/21/2015","865.65","879.85","885.14","864.42","783.21M","-1.40%"
"05/22/2015","858.04","866.47","867.12","857.17","628.27M","-0.88%"
"05/25/2015","845.67","857.05","857.88","844.80","455.91M","-1.44%"
"05/26/2015","836.49","841.25","848.52","836.49","595.88M","-1.09%"
"05/27/2015","842.92","839.84","842.92","828.53","640.24M","0.77%"
"05/28/2015","835.70","843.36","845.01","835.70","538.92M","-0.86%"
"05/29/2015","829.81","836.32","846.97","825.86","626.36M","-0.70%"
"06/01/2015","804.29","827.69","827.85","803.41","522.74M","-3.08%"
"06/02/2015","814.20","807.45","814.81","805.14","608.01M","1.23%"
"06/03/2015","833.94","815.77","834.12","812.09","654.53M","2.42%"
"06/04/2015","824.99","828.37","829.06","817.04","628.49M","-1.07%"
"06/05/2015","819.43","821.14","829.73","816.23","782.53M","-0.67%"
"06/08/2015","778.05","752.68","778.05","752.68","1.07B","-5.05%"
"06/09/2015","781.46","784.11","787.87","777.56","717.95M","0.44%"
"06/10/2015","797.48","786.57","800.08","786.57","685.27M","2.05%"
"06/11/2015","808.45","799.86","809.25","793.68","730.98M","1.38%"
"06/12/2015","805.33","808.48","811.70","803.15","566.16M","-0.39%"
"06/15/2015","789.51","805.48","807.48","789.51","559.17M","-1.96%"
"06/16/2015","801.84","792.27","805.21","792.27","598.96M","1.56%"
"06/17/2015","807.13","804.11","809.17","802.72","567.91M","0.66%"
"06/18/2015","819.32","816.05","822.36","813.38","518.04M","1.51%"
"06/19/2015","824.54","819.59","827.81","817.08","537.88M","0.64%"
"06/22/2015","834.26","829.14","837.60","829.14","568.00M","1.18%"
"06/23/2015","830.68","836.04","838.64","826.79","648.46M","-0.43%"
"06/24/2015","841.41","832.29","842.66","831.18","644.16M","1.29%"
"06/25/2015","832.77","842.13","845.29","832.41","670.23M","-1.03%"
"06/26/2015","835.46","832.17","838.68","830.76","474.60M","0.32%"
"06/29/2015","817.56","823.57","827.24","817.56","481.64M","-2.14%"
"06/30/2015","822.50","819.37","824.16","814.85","543.33M","0.60%"
"07/01/2015","816.82","824.45","829.40","816.82","533.83M","-0.69%"
"07/02/2015","818.80","815.94","820.08","809.78","547.33M","0.24%"
"07/03/2015","812.17","820.08","821.66","812.17","362.26M","-0.81%"
"07/06/2015","823.66","809.88","824.48","809.88","479.65M","1.41%"
"07/07/2015","815.72","826.57","828.61","815.72","503.02M","-0.96%"
"07/08/2015","803.87","814.89","814.89","802.39","583.51M","-1.45%"
"07/09/2015","822.86","809.18","823.33","809.18","446.29M","2.36%"
"07/10/2015","827.92","829.23","833.96","825.66","506.49M","0.61%"
"07/13/2015","833.88","828.10","836.78","825.30","514.59M","0.72%"
"07/14/2015","830.41","837.33","841.93","828.29","590.98M","-0.42%"
"07/15/2015","827.28","832.66","835.23","824.88","421.24M","-0.38%"
"07/16/2015","827.90","828.95","829.99","827.05","347.97M","0.07%"
"07/20/2015","813.20","828.14","828.95","810.14","577.94M","-1.78%"
"07/21/2015","815.84","816.89","818.88","809.61","566.65M","0.32%"
"07/22/2015","812.22","817.37","818.57","806.77","548.39M","-0.44%"
"07/23/2015","783.37","812.02","812.02","781.64","653.83M","-3.55%"
"07/24/2015","787.12","781.52","792.56","777.26","440.07M","0.48%"
"07/27/2015","773.52","787.25","791.71","772.30","510.95M","-1.73%"
"07/28/2015","780.24","776.87","787.29","776.87","547.87M","0.87%"
"07/29/2015","780.80","781.41","786.35","776.67","415.58M","0.07%"
"07/30/2015","782.71","776.33","788.89","775.34","476.22M","0.24%"
"07/31/2015","799.10","785.19","799.10","781.26","699.75M","2.09%"
"08/03/2015","781.64","798.80","798.80","780.23","496.35M","-2.18%"
"08/04/2015","782.35","784.63","787.54","778.06","489.94M","0.09%"
